TM_KEY_MTH,TM_KEY_WK,CENTER,METRIC_GRP,COMP_CD,PRODUCT_GRP,METRIC_CD,METRIC_NAME,DIMENSION_KPI_FLAG,BG_FLAG,AGG_TYPE,RR_IND,GRY_IND,UOM,PERIOD,ACTUAL_AGG,TARGET_AGG,PPN_TM
202306,2023023,Customer Service Experience & Retention,Experience,DTAC,Prepaid,DSER22101,Prepaid Complaint : DTAC,Y,N,N,0,RYG,%,M,,,2023-06-13 08:49:22
202303,2023011,Customer Service Experience & Retention,Experience,TRUE,Prepaid,TSER22101,Prepaid Complaint : TMH,Y,N,N,0,RYG,%,M,,,2023-06-13 08:49:22
202304,2023013,Customer Service Experience & Retention,Experience,TRUE,Prepaid,TSER22101,Prepaid Complaint : TMH,Y,N,N,0,RYG,%,M,,,2023-06-13 08:49:22
202303,2023013,Sales & Revenue,Revenue,ALL,Prepaid,B1R000700,Prepaid Daily Revenue,N,N,S,1,GYR,baht,M,0.0,,2023-06-13 08:49:22
202304,2023017,Sales & Revenue,Revenue,ALL,Prepaid,B1R000700,Prepaid Daily Revenue,N,N,S,1,GYR,baht,M,0.0,,2023-06-13 08:49:22
202305,2023018,Sales & Revenue,Revenue,ALL,Prepaid,B1R000700,Prepaid Daily Revenue,N,N,S,1,GYR,baht,M,0.0,,2023-06-13 08:49:22
202305,2023021,Sales & Revenue,Revenue,ALL,Prepaid,B1R000700,Prepaid Daily Revenue,N,N,S,1,GYR,baht,M,0.0,,2023-06-13 08:49:22
202303,2023012,Sales & Revenue,Revenue,DTAC,Prepaid,DB1R000700,Prepaid Daily Revenue : DTAC,N,N,S,1,GYR,baht,M,0.0,,2023-06-13 08:49:22
202303,2023013,Sales & Revenue,Revenue,DTAC,Prepaid,DB1R000700,Prepaid Daily Revenue : DTAC,N,N,S,1,GYR,baht,M,0.0,,2023-06-13 08:49:22
202304,2023014,Sales & Revenue,Revenue,DTAC,Prepaid,DB1R000700,Prepaid Daily Revenue : DTAC,N,N,S,1,GYR,baht,M,0.0,,2023-06-13 08:49:22
202304,2023017,Sales & Revenue,Revenue,DTAC,Prepaid,DB1R000700,Prepaid Daily Revenue : DTAC,N,N,S,1,GYR,baht,M,0.0,,2023-06-13 08:49:22
