Areas & Category,TMH-MB MKS,AIS-MB MKS,DTAC-MB MKS,TOT-MB MKS,Total Market Size,TMH-MB Total Customer,AIS-MB Total Customer,DTAC-MB Total Customer,TOT-MB Total Customer,System,AREA_META,Category,Metric,Area_type
"Changwat Chiang Mai, $600 - $999",37.2,46.86,15.95,0,304000,116000,146000,51000,0,iOS,Changwat Chiang Mai,$600 - $999,Device,Province
"Changwat Sa Kaeo, Price unknown",44.11,46.04,9.85,0,15000,4900,9500,1300,0,iOS,Changwat Sa Kaeo,Price unknown,Device,Province
"Changwat Sa Kaeo, $1,000 or more",31.98,57.55,10.48,0,76000,25000,44000,7900,0,iOS,Changwat Sa Kaeo,"$1,000 or more",Device,Province
"Changwat Sa Kaeo, Less than $100",0,0,0,0,24000,5800,17000,2100,0,iOS,Changwat Sa Kaeo,Less than $100,Device,Province
"Changwat Sa Kaeo, $100 - $149",0,0,0,0,70000,17000,48000,5700,0,iOS,Changwat Sa Kaeo,$100 - $149,Device,Province
"Changwat Sa Kaeo, $150 - $199",0,0,0,0,52000,13000,35000,4900,0,iOS,Changwat Sa Kaeo,$150 - $199,Device,Province
"Changwat Sa Kaeo, $200 - $249",0,0,0,0,35000,9500,23000,3100,0,iOS,Changwat Sa Kaeo,$200 - $249,Device,Province
"Changwat Sa Kaeo, $250 - $299",26.67,73.33,0,0,30000,7300,20000,2600,0,iOS,Changwat Sa Kaeo,$250 - $299,Device,Province
"Changwat Sa Kaeo, $300 - $399",40.97,48.52,10.51,0,42000,11000,27000,3800,0,iOS,Changwat Sa Kaeo,$300 - $399,Device,Province
"Changwat Sa Kaeo, $400 - $599",40.27,49.25,10.47,0,41000,13000,25000,4100,0,iOS,Changwat Sa Kaeo,$400 - $599,Device,Province
"Changwat Sa Kaeo, $600 - $999",33.69,57.25,9.06,0,54000,18000,31000,5300,0,iOS,Changwat Sa Kaeo,$600 - $999,Device,Province
"Changwat Loei, Price unknown",44.38,45.19,10.43,0,17000,5700,10000,1300,0,iOS,Changwat Loei,Price unknown,Device,Province
"Changwat Loei, $1,000 or more",35.36,58.04,6.61,0,66000,24000,40000,5100,0,iOS,Changwat Loei,"$1,000 or more",Device,Province
"Changwat Loei, Less than $100",0,0,0,0,28000,6700,20000,1200,0,iOS,Changwat Loei,Less than $100,Device,Province
"Changwat Loei, $100 - $149",0,0,0,0,83000,20000,60000,3900,0,iOS,Changwat Loei,$100 - $149,Device,Province
"Changwat Loei, $150 - $199",0,0,0,0,58000,16000,41000,3200,0,iOS,Changwat Loei,$150 - $199,Device,Province
"Changwat Loei, $200 - $249",0,0,0,0,43000,12000,29000,2600,0,iOS,Changwat Loei,$200 - $249,Device,Province
"Changwat Loei, $250 - $299",47.06,52.94,0,0,35000,9400,25000,1800,0,iOS,Changwat Loei,$250 - $299,Device,Province
"Changwat Loei, $300 - $399",41.42,49.66,8.92,0,46000,13000,32000,3000,0,iOS,Changwat Loei,$300 - $399,Device,Province
"Changwat Loei, $400 - $599",43.93,46.79,9.28,0,50000,17000,31000,3500,0,iOS,Changwat Loei,$400 - $599,Device,Province
"Changwat Loei, $600 - $999",35.35,58.54,6.11,0,57000,20000,36000,3800,0,iOS,Changwat Loei,$600 - $999,Device,Province
"Changwat Samut Prakan, Price unknown",47.55,33.33,19.12,0,33000,14000,13000,6800,0,iOS,Changwat Samut Prakan,Price unknown,Device,Province
"Changwat Samut Prakan, $1,000 or more",36.52,48,15.48,0,302000,112000,148000,49000,0,iOS,Changwat Samut Prakan,"$1,000 or more",Device,Province
"Changwat Samut Prakan, Less than $100",0,0,0,0,25000,8400,10000,6300,0,iOS,Changwat Samut Prakan,Less than $100,Device,Province
"Changwat Samut Prakan, $100 - $149",0,0,0,0,97000,33000,42000,24000,0,iOS,Changwat Samut Prakan,$100 - $149,Device,Province
"Changwat Samut Prakan, $150 - $199",0,0,0,0,111000,37000,48000,27000,0,iOS,Changwat Samut Prakan,$150 - $199,Device,Province
"Changwat Samut Prakan, $200 - $249",0,0,0,0,85000,28000,38000,21000,0,iOS,Changwat Samut Prakan,$200 - $249,Device,Province
"Changwat Samut Prakan, $250 - $299",54.64,30.93,14.43,0,84000,27000,39000,19000,0,iOS,Changwat Samut Prakan,$250 - $299,Device,Province
"Changwat Samut Prakan, $300 - $399",44.49,37.87,17.65,0,124000,43000,58000,27000,0,iOS,Changwat Samut Prakan,$300 - $399,Device,Province
"Changwat Samut Prakan, $400 - $599",43.29,36.3,20.41,0,144000,52000,67000,28000,0,iOS,Changwat Samut Prakan,$400 - $599,Device,Province
"Changwat Samut Prakan, $600 - $999",38.53,44.43,17.04,0,187000,72000,88000,34000,0,iOS,Changwat Samut Prakan,$600 - $999,Device,Province
"Changwat Lop Buri, Price unknown",40.9,46.74,12.35,0,18000,5900,11000,1900,0,iOS,Changwat Lop Buri,Price unknown,Device,Province
"Changwat Lop Buri, $1,000 or more",33.97,56.85,9.18,0,104000,36000,62000,10000,0,iOS,Changwat Lop Buri,"$1,000 or more",Device,Province
"Changwat Lop Buri, Less than $100",0,0,0,0,22000,5200,15000,2000,0,iOS,Changwat Lop Buri,Less than $100,Device,Province
"Changwat Lop Buri, $100 - $149",0,0,0,0,72000,18000,50000,6700,0,iOS,Changwat Lop Buri,$100 - $149,Device,Province
"Changwat Lop Buri, $150 - $199",0,0,0,0,67000,17000,46000,6600,0,iOS,Changwat Lop Buri,$150 - $199,Device,Province
"Changwat Lop Buri, $200 - $249",0,0,0,0,47000,13000,30000,5000,0,iOS,Changwat Lop Buri,$200 - $249,Device,Province
"Changwat Lop Buri, $250 - $299",38.6,61.4,0,0,45000,12000,30000,4500,0,iOS,Changwat Lop Buri,$250 - $299,Device,Province
"Changwat Lop Buri, $300 - $399",41.54,45.59,12.87,0,60000,17000,38000,6300,0,iOS,Changwat Lop Buri,$300 - $399,Device,Province
"Changwat Lop Buri, $400 - $599",43.52,44.83,11.65,0,66000,21000,40000,7000,0,iOS,Changwat Lop Buri,$400 - $599,Device,Province
"Changwat Lop Buri, $600 - $999",34.06,56.3,9.63,0,77000,26000,46000,8100,0,iOS,Changwat Lop Buri,$600 - $999,Device,Province
"Changwat Nakhon Ratchasima, Price unknown",44.53,42.06,13.4,0,66000,25000,37000,7600,0,iOS,Changwat Nakhon Ratchasima,Price unknown,Device,Province
"Changwat Nakhon Ratchasima, $1,000 or more",35.71,53.9,10.39,0,362000,132000,202000,40000,0,iOS,Changwat Nakhon Ratchasima,"$1,000 or more",Device,Province
"Changwat Nakhon Ratchasima, Less than $100",0,0,0,0,94000,26000,64000,7100,0,iOS,Changwat Nakhon Ratchasima,Less than $100,Device,Province
"Changwat Nakhon Ratchasima, $100 - $149",0,0,0,0,312000,87000,206000,28000,0,iOS,Changwat Nakhon Ratchasima,$100 - $149,Device,Province
"Changwat Nakhon Ratchasima, $150 - $199",0,0,0,0,245000,72000,154000,23000,0,iOS,Changwat Nakhon Ratchasima,$150 - $199,Device,Province
"Changwat Nakhon Ratchasima, $200 - $249",0,0,0,0,176000,53000,107000,20000,0,iOS,Changwat Nakhon Ratchasima,$200 - $249,Device,Province
"Changwat Nakhon Ratchasima, $250 - $299",44.78,49.13,6.09,0,158000,46000,99000,16000,0,iOS,Changwat Nakhon Ratchasima,$250 - $299,Device,Province
"Changwat Nakhon Ratchasima, $300 - $399",40.93,46.74,12.33,0,205000,65000,122000,24000,0,iOS,Changwat Nakhon Ratchasima,$300 - $399,Device,Province
"Changwat Nakhon Ratchasima, $400 - $599",45.23,40.31,14.46,0,231000,81000,131000,27000,0,iOS,Changwat Nakhon Ratchasima,$400 - $599,Device,Province
"Changwat Nakhon Ratchasima, $600 - $999",36.59,52.68,10.73,0,289000,109000,161000,33000,0,iOS,Changwat Nakhon Ratchasima,$600 - $999,Device,Province
"Changwat Samut Sakhon, Price unknown",40.79,31.66,27.55,0,26000,7300,9400,10000,0,iOS,Changwat Samut Sakhon,Price unknown,Device,Province
"Changwat Samut Sakhon, $1,000 or more",27.44,47.24,25.32,0,177000,49000,86000,46000,0,iOS,Changwat Samut Sakhon,"$1,000 or more",Device,Province
"Changwat Samut Sakhon, Less than $100",0,0,0,0,27000,5700,10000,12000,0,iOS,Changwat Samut Sakhon,Less than $100,Device,Province
"Changwat Samut Sakhon, $100 - $149",0,0,0,0,101000,20000,37000,44000,0,iOS,Changwat Samut Sakhon,$100 - $149,Device,Province
"Changwat Samut Sakhon, $150 - $199",0,0,0,0,108000,23000,43000,45000,0,iOS,Changwat Samut Sakhon,$150 - $199,Device,Province
"Changwat Samut Sakhon, $200 - $249",0,0,0,0,83000,18000,32000,36000,0,iOS,Changwat Samut Sakhon,$200 - $249,Device,Province
"Changwat Samut Sakhon, $250 - $299",24.56,38.6,36.84,0,74000,15000,30000,29000,0,iOS,Changwat Samut Sakhon,$250 - $299,Device,Province
"Changwat Samut Sakhon, $300 - $399",29.35,42.24,28.42,0,97000,22000,41000,36000,0,iOS,Changwat Samut Sakhon,$300 - $399,Device,Province
"Changwat Samut Sakhon, $400 - $599",34.01,36.99,29,0,103000,27000,46000,34000,0,iOS,Changwat Samut Sakhon,$400 - $599,Device,Province
"Changwat Samut Sakhon, $600 - $999",29.24,43.08,27.67,0,118000,34000,54000,34000,0,iOS,Changwat Samut Sakhon,$600 - $999,Device,Province
"Changwat Phichit, Price unknown",48.33,27.96,23.71,0,11000,4400,4300,2900,0,iOS,Changwat Phichit,Price unknown,Device,Province
"Changwat Phichit, $1,000 or more",40.58,36.67,22.75,0,48000,19000,19000,11000,0,iOS,Changwat Phichit,"$1,000 or more",Device,Province
"Changwat Phichit, Less than $100",0,0,0,0,15000,5300,6100,3600,0,iOS,Changwat Phichit,Less than $100,Device,Province
"Changwat Phichit, $100 - $149",0,0,0,0,48000,16000,21000,12000,0,iOS,Changwat Phichit,$100 - $149,Device,Province
"Changwat Phichit, $150 - $199",0,0,0,0,45000,16000,20000,11000,0,iOS,Changwat Phichit,$150 - $199,Device,Province
"Changwat Phichit, $200 - $249",0,0,0,0,29000,11000,12000,7800,0,iOS,Changwat Phichit,$200 - $249,Device,Province
"Changwat Phichit, $250 - $299",48.89,51.11,0,0,26000,9300,11000,6800,0,iOS,Changwat Phichit,$250 - $299,Device,Province
"Changwat Phichit, $300 - $399",43.55,31.94,24.52,0,34000,12000,14000,8900,0,iOS,Changwat Phichit,$300 - $399,Device,Province
"Changwat Phichit, $400 - $599",45.49,28.8,25.7,0,37000,14000,15000,9000,0,iOS,Changwat Phichit,$400 - $599,Device,Province
"Changwat Phichit, $600 - $999",39.84,37.04,23.12,0,40000,18000,16000,9700,0,iOS,Changwat Phichit,$600 - $999,Device,Province
"Changwat Yasothon, Price unknown",45.03,38.41,16.56,0,11000,4400,5800,1400,0,iOS,Changwat Yasothon,Price unknown,Device,Province
"Changwat Yasothon, $1,000 or more",39.49,48.76,11.75,0,39000,16000,19000,4700,0,iOS,Changwat Yasothon,"$1,000 or more",Device,Province
"Changwat Yasothon, Less than $100",0,0,0,0,21000,6900,13000,2200,0,iOS,Changwat Yasothon,Less than $100,Device,Province
"Changwat Yasothon, $100 - $149",0,0,0,0,62000,19000,37000,6600,0,iOS,Changwat Yasothon,$100 - $149,Device,Province
"Changwat Yasothon, $150 - $199",0,0,0,0,45000,15000,27000,5200,0,iOS,Changwat Yasothon,$150 - $199,Device,Province
"Changwat Yasothon, $200 - $249",0,0,0,0,30000,10000,17000,3800,0,iOS,Changwat Yasothon,$200 - $249,Device,Province
"Changwat Yasothon, $250 - $299",33.33,66.67,0,0,25000,7800,14000,3400,0,iOS,Changwat Yasothon,$250 - $299,Device,Province
"Changwat Yasothon, $300 - $399",41.23,41.23,17.53,0,31000,11000,17000,4500,0,iOS,Changwat Yasothon,$300 - $399,Device,Province
"Changwat Yasothon, $400 - $599",47.26,39.32,13.42,0,32000,12000,16000,4300,0,iOS,Changwat Yasothon,$400 - $599,Device,Province
"Changwat Yasothon, $600 - $999",38.23,48.38,13.38,0,36000,14000,18000,4900,0,iOS,Changwat Yasothon,$600 - $999,Device,Province
"Changwat Phetchaburi, Price unknown",49.75,36.32,13.93,0,15000,6100,7200,2100,0,iOS,Changwat Phetchaburi,Price unknown,Device,Province
"Changwat Phetchaburi, $1,000 or more",38.32,50.72,10.95,0,95000,37000,50000,11000,0,iOS,Changwat Phetchaburi,"$1,000 or more",Device,Province
"Changwat Phetchaburi, Less than $100",0,0,0,0,18000,5100,10000,2300,0,iOS,Changwat Phetchaburi,Less than $100,Device,Province
"Changwat Phetchaburi, $100 - $149",0,0,0,0,58000,17000,33000,7900,0,iOS,Changwat Phetchaburi,$100 - $149,Device,Province
"Changwat Phetchaburi, $150 - $199",0,0,0,0,49000,15000,28000,7700,0,iOS,Changwat Phetchaburi,$150 - $199,Device,Province
"Changwat Phetchaburi, $200 - $249",0,0,0,0,36000,12000,19000,5900,0,iOS,Changwat Phetchaburi,$200 - $249,Device,Province
"Changwat Phetchaburi, $250 - $299",65.63,34.38,0,0,34000,11000,19000,5100,0,iOS,Changwat Phetchaburi,$250 - $299,Device,Province
"Changwat Phetchaburi, $300 - $399",41.01,43.03,15.96,0,45000,15000,24000,7200,0,iOS,Changwat Phetchaburi,$300 - $399,Device,Province
"Changwat Phetchaburi, $400 - $599",44.98,40.53,14.49,0,51000,18000,26000,7700,0,iOS,Changwat Phetchaburi,$400 - $599,Device,Province
"Changwat Phetchaburi, $600 - $999",39.13,49.67,11.2,0,72000,29000,36000,9100,0,iOS,Changwat Phetchaburi,$600 - $999,Device,Province
"Changwat Phitsanulok, Price unknown",46.55,29.8,23.65,0,26000,11000,10000,6700,0,iOS,Changwat Phitsanulok,Price unknown,Device,Province
"Changwat Phitsanulok, $1,000 or more",39.61,38.93,21.46,0,139000,56000,56000,30000,0,iOS,Changwat Phitsanulok,"$1,000 or more",Device,Province
"Changwat Phitsanulok, Less than $100",0,0,0,0,27000,8300,13000,6900,0,iOS,Changwat Phitsanulok,Less than $100,Device,Province
"Changwat Phitsanulok, $100 - $149",0,0,0,0,90000,29000,39000,24000,0,iOS,Changwat Phitsanulok,$100 - $149,Device,Province
"Changwat Phitsanulok, $150 - $199",0,0,0,0,86000,30000,35000,23000,0,iOS,Changwat Phitsanulok,$150 - $199,Device,Province
"Changwat Phitsanulok, $200 - $249",0,0,0,0,61000,21000,24000,17000,0,iOS,Changwat Phitsanulok,$200 - $249,Device,Province
"Changwat Phitsanulok, $250 - $299",36.92,38.46,24.62,0,55000,18000,22000,16000,0,iOS,Changwat Phitsanulok,$250 - $299,Device,Province
"Changwat Phitsanulok, $300 - $399",39.51,36.27,24.22,0,72000,26000,29000,21000,0,iOS,Changwat Phitsanulok,$300 - $399,Device,Province
"Changwat Phitsanulok, $400 - $599",45.51,33.47,21.02,0,93000,36000,36000,23000,0,iOS,Changwat Phitsanulok,$400 - $599,Device,Province
"Changwat Phitsanulok, $600 - $999",40.84,35.65,23.51,0,106000,45000,41000,26000,0,iOS,Changwat Phitsanulok,$600 - $999,Device,Province
"Changwat Pathum Thani, Price unknown",45.18,37.52,17.3,0,46000,19000,19000,11000,0,iOS,Changwat Pathum Thani,Price unknown,Device,Province
"Changwat Pathum Thani, $1,000 or more",36.22,48.18,15.6,0,419000,153000,209000,69000,0,iOS,Changwat Pathum Thani,"$1,000 or more",Device,Province
"Changwat Pathum Thani, Less than $100",0,0,0,0,34000,11000,14000,10000,0,iOS,Changwat Pathum Thani,Less than $100,Device,Province
"Changwat Pathum Thani, $100 - $149",0,0,0,0,120000,38000,49000,34000,0,iOS,Changwat Pathum Thani,$100 - $149,Device,Province
"Changwat Pathum Thani, $150 - $199",0,0,0,0,130000,42000,54000,36000,0,iOS,Changwat Pathum Thani,$150 - $199,Device,Province
"Changwat Pathum Thani, $200 - $249",0,0,0,0,102000,34000,43000,28000,0,iOS,Changwat Pathum Thani,$200 - $249,Device,Province
"Changwat Pathum Thani, $250 - $299",67.42,32.58,0,0,97000,31000,44000,24000,0,iOS,Changwat Pathum Thani,$250 - $299,Device,Province
"Changwat Pathum Thani, $300 - $399",40.24,40.42,19.34,0,146000,48000,66000,33000,0,iOS,Changwat Pathum Thani,$300 - $399,Device,Province
"Changwat Pathum Thani, $400 - $599",43.3,39.02,17.68,0,189000,69000,86000,38000,0,iOS,Changwat Pathum Thani,$400 - $599,Device,Province
"Changwat Pathum Thani, $600 - $999",38.19,44.28,17.53,0,250000,97000,116000,44000,0,iOS,Changwat Pathum Thani,$600 - $999,Device,Province
"Changwat Sukhothai, Price unknown",52.9,28.54,18.56,0,15000,6700,5700,2700,0,iOS,Changwat Sukhothai,Price unknown,Device,Province
"Changwat Sukhothai, $1,000 or more",44.44,36.6,18.96,0,56000,25000,21000,11000,0,iOS,Changwat Sukhothai,"$1,000 or more",Device,Province
"Changwat Sukhothai, Less than $100",0,0,0,0,21000,8100,9900,3400,0,iOS,Changwat Sukhothai,Less than $100,Device,Province
"Changwat Sukhothai, $100 - $149",0,0,0,0,69000,27000,28000,13000,0,iOS,Changwat Sukhothai,$100 - $149,Device,Province
"Changwat Sukhothai, $150 - $199",0,0,0,0,56000,22000,23000,11000,0,iOS,Changwat Sukhothai,$150 - $199,Device,Province
"Changwat Sukhothai, $200 - $249",0,0,0,0,36000,15000,15000,6900,0,iOS,Changwat Sukhothai,$200 - $249,Device,Province
"Changwat Sukhothai, $250 - $299",48.21,30.36,21.43,0,33000,14000,14000,7000,0,iOS,Changwat Sukhothai,$250 - $299,Device,Province
"Changwat Sukhothai, $300 - $399",49.09,30.55,20.37,0,41000,17000,18000,8400,0,iOS,Changwat Sukhothai,$300 - $399,Device,Province
"Changwat Sukhothai, $400 - $599",52.84,27.45,19.72,0,42000,18000,17000,7800,0,iOS,Changwat Sukhothai,$400 - $599,Device,Province
"Changwat Sukhothai, $600 - $999",46.03,35.44,18.53,0,47000,23000,19000,9300,0,iOS,Changwat Sukhothai,$600 - $999,Device,Province
"Changwat Samut Songkhram, Price unknown",31.61,43.01,25.39,0,5000,1400,2100,1600,0,iOS,Changwat Samut Songkhram,Price unknown,Device,Province
"Changwat Samut Songkhram, $1,000 or more",26.7,43.17,30.13,0,34000,9600,16000,10000,0,iOS,Changwat Samut Songkhram,"$1,000 or more",Device,Province
"Changwat Samut Songkhram, Less than $100",0,0,0,0,4600,1100,1900,1600,0,iOS,Changwat Samut Songkhram,Less than $100,Device,Province
"Changwat Samut Songkhram, $100 - $149",0,0,0,0,16000,3800,7000,6000,0,iOS,Changwat Samut Songkhram,$100 - $149,Device,Province
"Changwat Samut Songkhram, $150 - $199",0,0,0,0,17000,4200,7500,5800,0,iOS,Changwat Samut Songkhram,$150 - $199,Device,Province
"Changwat Samut Songkhram, $200 - $249",0,0,0,0,13000,3500,5900,4300,0,iOS,Changwat Samut Songkhram,$200 - $249,Device,Province
"Changwat Samut Songkhram, $250 - $299",0,0,0,0,13000,2900,5700,3900,0,iOS,Changwat Samut Songkhram,$250 - $299,Device,Province
"Changwat Samut Songkhram, $300 - $399",33.56,32.19,34.25,0,17000,4500,7400,5700,0,iOS,Changwat Samut Songkhram,$300 - $399,Device,Province
"Changwat Samut Songkhram, $400 - $599",36.68,34.96,28.37,0,19000,5700,8500,5400,0,iOS,Changwat Samut Songkhram,$400 - $599,Device,Province
"Changwat Samut Songkhram, $600 - $999",29.81,39.37,30.82,0,25000,7700,11000,7900,0,iOS,Changwat Samut Songkhram,$600 - $999,Device,Province
"Bangkok, Price unknown",47.68,30.4,21.92,0,541000,222000,126000,203000,0,iOS,Bangkok,Price unknown,Device,Province
"Bangkok, $1,000 or more",37.27,41.74,21,0,4150000,1560000,1780000,891000,100,iOS,Bangkok,"$1,000 or more",Device,Province
"Bangkok, Less than $100",0,0,0,0,656000,259000,113000,284000,0,iOS,Bangkok,Less than $100,Device,Province
"Bangkok, $100 - $149",0,0,0,0,2170000,814000,397000,969000,120,iOS,Bangkok,$100 - $149,Device,Province
"Bangkok, $150 - $199",0,0,0,0,2080000,745000,428000,916000,200,iOS,Bangkok,$150 - $199,Device,Province
"Bangkok, $200 - $249",0,0,0,0,1560000,552000,332000,681000,170,iOS,Bangkok,$200 - $249,Device,Province
"Bangkok, $250 - $299",50.2,23.93,25.86,0,1380000,478000,338000,571000,0,iOS,Bangkok,$250 - $299,Device,Province
"Bangkok, $300 - $399",44.19,32.4,23.4,0,1800000,667000,488000,662000,230,iOS,Bangkok,$300 - $399,Device,Province
"Bangkok, $400 - $599",46.58,31.09,22.34,0,2100000,829000,651000,650000,170,iOS,Bangkok,$400 - $599,Device,Province
"Bangkok, $600 - $999",41.01,35.85,23.15,0,2270000,924000,828000,570000,120,iOS,Bangkok,$600 - $999,Device,Province
"Changwat Sing Buri, Price unknown",35.26,45.09,19.65,0,5600,1500,2900,1200,0,iOS,Changwat Sing Buri,Price unknown,Device,Province
"Changwat Sing Buri, $1,000 or more",28.87,55.31,15.82,0,29000,8600,17000,4900,0,iOS,Changwat Sing Buri,"$1,000 or more",Device,Province
"Changwat Sing Buri, Less than $100",0,0,0,0,7400,1800,4300,1400,0,iOS,Changwat Sing Buri,Less than $100,Device,Province
"Changwat Sing Buri, $100 - $149",0,0,0,0,23000,5800,13000,4000,0,iOS,Changwat Sing Buri,$100 - $149,Device,Province
"Changwat Sing Buri, $150 - $199",0,0,0,0,20000,5300,12000,3400,0,iOS,Changwat Sing Buri,$150 - $199,Device,Province
"Changwat Sing Buri, $200 - $249",0,0,0,0,15000,3800,8700,2900,0,iOS,Changwat Sing Buri,$200 - $249,Device,Province
"Changwat Sing Buri, $250 - $299",0,100,0,0,14000,3400,8500,2300,0,iOS,Changwat Sing Buri,$250 - $299,Device,Province
"Changwat Sing Buri, $300 - $399",34.34,42.77,22.89,0,19000,5300,11000,3400,0,iOS,Changwat Sing Buri,$300 - $399,Device,Province
"Changwat Sing Buri, $400 - $599",41.67,37.5,20.83,0,21000,6000,12000,3600,0,iOS,Changwat Sing Buri,$400 - $599,Device,Province
"Changwat Sing Buri, $600 - $999",29.85,53.77,16.38,0,21000,6600,12000,3900,0,iOS,Changwat Sing Buri,$600 - $999,Device,Province
"Changwat Si Sa Ket, Price unknown",39.01,40.74,20.25,0,28000,9100,15000,4800,0,iOS,Changwat Si Sa Ket,Price unknown,Device,Province
"Changwat Si Sa Ket, $1,000 or more",36.94,45.38,17.67,0,93000,36000,44000,17000,0,iOS,Changwat Si Sa Ket,"$1,000 or more",Device,Province
"Changwat Si Sa Ket, Less than $100",0,0,0,0,54000,15000,32000,8500,0,iOS,Changwat Si Sa Ket,Less than $100,Device,Province
"Changwat Si Sa Ket, $100 - $149",0,0,0,0,147000,43000,86000,23000,0,iOS,Changwat Si Sa Ket,$100 - $149,Device,Province
"Changwat Si Sa Ket, $150 - $199",0,0,0,0,112000,33000,63000,17000,0,iOS,Changwat Si Sa Ket,$150 - $199,Device,Province
"Changwat Si Sa Ket, $200 - $249",0,0,0,0,73000,23000,42000,12000,0,iOS,Changwat Si Sa Ket,$200 - $249,Device,Province
"Changwat Si Sa Ket, $250 - $299",35.2,47.2,17.6,0,58000,18000,32000,9400,0,iOS,Changwat Si Sa Ket,$250 - $299,Device,Province
"Changwat Si Sa Ket, $300 - $399",40.97,40.03,19,0,74000,25000,38000,14000,0,iOS,Changwat Si Sa Ket,$300 - $399,Device,Province
"Changwat Si Sa Ket, $400 - $599",44.22,36.14,19.63,0,74000,26000,37000,13000,0,iOS,Changwat Si Sa Ket,$400 - $599,Device,Province
"Changwat Si Sa Ket, $600 - $999",35.81,45.99,18.19,0,93000,37000,46000,17000,0,iOS,Changwat Si Sa Ket,$600 - $999,Device,Province
"Changwat Prachin Buri, Price unknown",43.32,42.51,14.17,0,17000,5500,10000,2200,0,iOS,Changwat Prachin Buri,Price unknown,Device,Province
"Changwat Prachin Buri, $1,000 or more",32.32,57.36,10.33,0,107000,33000,64000,12000,0,iOS,Changwat Prachin Buri,"$1,000 or more",Device,Province
"Changwat Prachin Buri, Less than $100",0,0,0,0,25000,5200,16000,2800,0,iOS,Changwat Prachin Buri,Less than $100,Device,Province
"Changwat Prachin Buri, $100 - $149",0,0,0,0,74000,19000,47000,9000,0,iOS,Changwat Prachin Buri,$100 - $149,Device,Province
"Changwat Prachin Buri, $150 - $199",0,0,0,0,65000,16000,41000,8500,0,iOS,Changwat Prachin Buri,$150 - $199,Device,Province
"Changwat Prachin Buri, $200 - $249",0,0,0,0,45000,11000,29000,6100,0,iOS,Changwat Prachin Buri,$200 - $249,Device,Province
"Changwat Prachin Buri, $250 - $299",31.71,53.66,14.63,0,41000,11000,26000,5200,0,iOS,Changwat Prachin Buri,$250 - $299,Device,Province
"Changwat Prachin Buri, $300 - $399",37.19,48.77,14.04,0,59000,16000,36000,7400,0,iOS,Changwat Prachin Buri,$300 - $399,Device,Province
"Changwat Prachin Buri, $400 - $599",40.65,45.42,13.93,0,60000,18000,37000,7700,0,iOS,Changwat Prachin Buri,$400 - $599,Device,Province
"Changwat Prachin Buri, $600 - $999",30.23,59.34,10.44,0,76000,23000,46000,8700,0,iOS,Changwat Prachin Buri,$600 - $999,Device,Province
"Changwat Krabi, Price unknown",33.45,45.71,20.84,0,19000,4700,12000,3100,0,iOS,Changwat Krabi,Price unknown,Device,Province
"Changwat Krabi, $1,000 or more",29.44,57.2,13.36,0,85000,25000,50000,12000,0,iOS,Changwat Krabi,"$1,000 or more",Device,Province
"Changwat Krabi, Less than $100",0,0,0,0,25000,4800,18000,2800,0,iOS,Changwat Krabi,Less than $100,Device,Province
"Changwat Krabi, $100 - $149",0,0,0,0,74000,15000,53000,9200,0,iOS,Changwat Krabi,$100 - $149,Device,Province
"Changwat Krabi, $150 - $199",0,0,0,0,64000,13000,44000,8100,0,iOS,Changwat Krabi,$150 - $199,Device,Province
"Changwat Krabi, $200 - $249",0,0,0,0,41000,8800,27000,5400,0,iOS,Changwat Krabi,$200 - $249,Device,Province
"Changwat Krabi, $250 - $299",33.33,66.67,0,0,38000,7800,27000,5200,0,iOS,Changwat Krabi,$250 - $299,Device,Province
"Changwat Krabi, $300 - $399",33.81,49.65,16.55,0,43000,11000,28000,6100,0,iOS,Changwat Krabi,$300 - $399,Device,Province
"Changwat Krabi, $400 - $599",35.21,47.29,17.49,0,55000,14000,35000,7500,0,iOS,Changwat Krabi,$400 - $599,Device,Province
"Changwat Krabi, $600 - $999",29,57.86,13.14,0,63000,19000,38000,9300,0,iOS,Changwat Krabi,$600 - $999,Device,Province
"Changwat Phuket, Price unknown",37.87,37.19,24.94,0,29000,7600,13000,9700,0,iOS,Changwat Phuket,Price unknown,Device,Province
"Changwat Phuket, $1,000 or more",30.01,43.96,26.03,0,253000,75000,112000,66000,0,iOS,Changwat Phuket,"$1,000 or more",Device,Province
"Changwat Phuket, Less than $100",0,0,0,0,33000,5600,17000,11000,0,iOS,Changwat Phuket,Less than $100,Device,Province
"Changwat Phuket, $100 - $149",0,0,0,0,103000,18000,50000,36000,0,iOS,Changwat Phuket,$100 - $149,Device,Province
"Changwat Phuket, $150 - $199",0,0,0,0,104000,20000,45000,39000,0,iOS,Changwat Phuket,$150 - $199,Device,Province
"Changwat Phuket, $200 - $249",0,0,0,0,72000,15000,30000,28000,0,iOS,Changwat Phuket,$200 - $249,Device,Province
"Changwat Phuket, $250 - $299",38.46,61.54,0,0,67000,14000,30000,25000,0,iOS,Changwat Phuket,$250 - $299,Device,Province
"Changwat Phuket, $300 - $399",33.98,34.96,31.06,0,83000,19000,36000,30000,0,iOS,Changwat Phuket,$300 - $399,Device,Province
"Changwat Phuket, $400 - $599",36.41,35.46,28.13,0,109000,29000,47000,35000,0,iOS,Changwat Phuket,$400 - $599,Device,Province
