Areas & Category,TMH-MB MKS,AIS-MB MKS,DTAC-MB MKS,TOT-MB MKS,Total Market Size,TMH-MB Total Customer,AIS-MB Total Customer,DTAC-MB Total Customer,TOT-MB Total Customer,System,AREA_META,Category,Metric,Area_type
"Changwat Ratchaburi, 55-64",18.1,64.95,16.96,0,61000,12000,41000,11000,0,All OS,Changwat Ratchaburi,55-64,Age,Province
"Changwat Ratchaburi, 65+",20.18,62.31,17.52,0,38000,7700,24000,6700,0,All OS,Changwat Ratchaburi,65+,Age,Province
"Changwat Chanthaburi, 13-17",23.46,67.47,9.07,0,26000,6600,18000,2400,0,All OS,Changwat Chanthaburi,13-17,Age,Province
"Changwat Chanthaburi, 18-24",24.64,63.9,11.45,0,92000,25000,63000,11000,0,All OS,Changwat Chanthaburi,18-24,Age,Province
"Changwat Chanthaburi, 25-34",24.96,64.86,10.18,0,195000,51000,131000,20000,0,All OS,Changwat Chanthaburi,25-34,Age,Province
"Changwat Chanthaburi, 35-44",24.53,64.94,10.53,0,118000,30000,80000,13000,0,All OS,Changwat Chanthaburi,35-44,Age,Province
"Changwat Chanthaburi, 45-54",20.88,68.99,10.13,0,79000,18000,56000,8200,0,All OS,Changwat Chanthaburi,45-54,Age,Province
"Changwat Chanthaburi, 55-64",18.24,71.74,10.03,0,52000,9800,38000,5400,0,All OS,Changwat Chanthaburi,55-64,Age,Province
"Changwat Chanthaburi, 65+",18.84,70.98,10.18,0,32000,6300,24000,3400,0,All OS,Changwat Chanthaburi,65+,Age,Province
"Changwat Roi Et, 13-17",40.51,49.34,10.15,0,41000,18000,22000,4400,0,All OS,Changwat Roi Et,13-17,Age,Province
"Changwat Roi Et, 18-24",38.79,51.17,10.03,0,94000,42000,53000,10000,0,All OS,Changwat Roi Et,18-24,Age,Province
"Changwat Roi Et, 25-34",35.97,53.96,10.07,0,188000,72000,107000,19000,0,All OS,Changwat Roi Et,25-34,Age,Province
"Changwat Roi Et, 35-44",35.15,54.53,10.33,0,120000,43000,67000,13000,0,All OS,Changwat Roi Et,35-44,Age,Province
"Changwat Roi Et, 45-54",28.13,61.53,10.34,0,96000,28000,60000,9500,0,All OS,Changwat Roi Et,45-54,Age,Province
"Changwat Roi Et, 55-64",25.18,65.13,9.69,0,72000,19000,48000,7100,0,All OS,Changwat Roi Et,55-64,Age,Province
"Changwat Roi Et, 65+",28.37,62.97,8.66,0,39000,11000,25000,3400,0,All OS,Changwat Roi Et,65+,Age,Province
"Changwat Nan, 13-17",33.75,60,6.25,0,17000,6600,11000,1200,0,All OS,Changwat Nan,13-17,Age,Province
"Changwat Nan, 18-24",36.22,55.94,7.84,0,40000,16000,24000,3300,0,All OS,Changwat Nan,18-24,Age,Province
"Changwat Nan, 25-34",34.12,57.54,8.33,0,82000,29000,49000,7000,0,All OS,Changwat Nan,25-34,Age,Province
"Changwat Nan, 35-44",31.21,60.47,8.32,0,55000,18000,35000,4800,0,All OS,Changwat Nan,35-44,Age,Province
"Changwat Nan, 45-54",27.78,62.88,9.34,0,41000,12000,26000,3800,0,All OS,Changwat Nan,45-54,Age,Province
"Changwat Nan, 55-64",23.75,67.32,8.92,0,35000,8200,23000,3300,0,All OS,Changwat Nan,55-64,Age,Province
"Changwat Nan, 65+",23.66,65.85,10.5,0,19000,4700,13000,2000,0,All OS,Changwat Nan,65+,Age,Province
"Changwat Ranong, 13-17",27.05,54.26,18.7,0,11000,3100,6300,2300,0,All OS,Changwat Ranong,13-17,Age,Province
"Changwat Ranong, 18-24",24.77,52.69,22.55,0,36000,9600,19000,8700,0,All OS,Changwat Ranong,18-24,Age,Province
"Changwat Ranong, 25-34",26,54.49,19.51,0,70000,18000,39000,15000,0,All OS,Changwat Ranong,25-34,Age,Province
"Changwat Ranong, 35-44",26.33,56.88,16.78,0,36000,9700,21000,6200,0,All OS,Changwat Ranong,35-44,Age,Province
"Changwat Ranong, 45-54",25.76,62.31,11.93,0,22000,5900,14000,2700,0,All OS,Changwat Ranong,45-54,Age,Province
"Changwat Ranong, 55-64",20.98,65.82,13.19,0,14000,2900,9400,1900,0,All OS,Changwat Ranong,55-64,Age,Province
"Changwat Ranong, 65+",24.28,62.09,13.63,0,9500,2300,5900,1300,0,All OS,Changwat Ranong,65+,Age,Province
"Changwat Nakhon Phanom, 13-17",33.73,61.02,5.25,0,30000,10000,19000,1700,0,All OS,Changwat Nakhon Phanom,13-17,Age,Province
