Areas & Category,TMH-MB MKS,AIS-MB MKS,DTAC-MB MKS,TOT-MB MKS,Total Market Size,TMH-MB Total Customer,AIS-MB Total Customer,DTAC-MB Total Customer,TOT-MB Total Customer,AREA_META,Category,Metric,Area_type
"Changwat Nakhon Phanom, 45-54",25.87,67.29,6.84,0,58000,15000,41000,4000,0,Changwat Nakhon Phanom,45-54,Age,Province
"Changwat Nakhon Phanom, 55-64",22.73,71.23,6.04,0,41000,9400,29000,2400,0,Changwat Nakhon Phanom,55-64,Age,Province
"Changwat Nakhon Phanom, 65+",21.09,73.22,5.69,0,23000,5100,17000,1400,0,Changwat Nakhon Phanom,65+,Age,Province
"Changwat Kanchanaburi, 13-17",17.57,75.15,7.28,0,42000,7700,33000,3200,0,Changwat Kanchanaburi,13-17,Age,Province
"Changwat Kanchanaburi, 18-24",18.57,71.79,9.64,0,124000,23000,93000,13000,0,Changwat Kanchanaburi,18-24,Age,Province
"Changwat Kanchanaburi, 25-34",18.33,73.41,8.21,0.04,241000,45000,182000,20000,0,Changwat Kanchanaburi,25-34,Age,Province
"Changwat Kanchanaburi, 35-44",17.75,75.42,6.76,0.07,144000,26000,111000,10000,100,Changwat Kanchanaburi,35-44,Age,Province
"Changwat Kanchanaburi, 45-54",15.88,77.46,6.66,0,92000,15000,74000,6200,0,Changwat Kanchanaburi,45-54,Age,Province
"Changwat Kanchanaburi, 55-64",13.23,80.13,6.64,0,62000,8400,51000,4000,0,Changwat Kanchanaburi,55-64,Age,Province
"Changwat Kanchanaburi, 65+",13.25,78.89,7.86,0,37000,5100,30000,2900,0,Changwat Kanchanaburi,65+,Age,Province
"Changwat Nakhon Pathom, 13-17",30.55,48.04,21.41,0,30000,10000,16000,7000,0,Changwat Nakhon Pathom,13-17,Age,Province
"Changwat Nakhon Pathom, 18-24",27.52,50.81,21.67,0,138000,42000,75000,32000,0,Changwat Nakhon Pathom,18-24,Age,Province
"Changwat Nakhon Pathom, 25-34",26.29,53.34,20.38,0,264000,72000,146000,56000,0,Changwat Nakhon Pathom,25-34,Age,Province
"Changwat Nakhon Pathom, 35-44",24.86,56.21,18.94,0,164000,42000,94000,32000,0,Changwat Nakhon Pathom,35-44,Age,Province
"Changwat Nakhon Pathom, 45-54",21.75,60.34,17.91,0,105000,23000,65000,19000,0,Changwat Nakhon Pathom,45-54,Age,Province
"Changwat Nakhon Pathom, 55-64",20.92,61.67,17.4,0,64000,13000,41000,11000,0,Changwat Nakhon Pathom,55-64,Age,Province
"Changwat Nakhon Pathom, 65+",20.01,61.12,18.87,0,35000,7200,22000,6700,0,Changwat Nakhon Pathom,65+,Age,Province
"Changwat Kamphaeng Phet, 13-17",40.79,38.92,20.28,0,24000,10000,10000,5500,0,Changwat Kamphaeng Phet,13-17,Age,Province
"Changwat Kamphaeng Phet, 18-24",38.06,41.2,20.74,0,68000,28000,30000,15000,0,Changwat Kamphaeng Phet,18-24,Age,Province
"Changwat Kamphaeng Phet, 25-34",36.79,41.39,21.82,0,129000,50000,56000,29000,0,Changwat Kamphaeng Phet,25-34,Age,Province
"Changwat Kamphaeng Phet, 35-44",35.86,44.03,20.11,0,80000,30000,37000,17000,0,Changwat Kamphaeng Phet,35-44,Age,Province
"Changwat Kamphaeng Phet, 45-54",30.88,47.05,22.07,0,57000,18000,28000,13000,0,Changwat Kamphaeng Phet,45-54,Age,Province
"Changwat Kamphaeng Phet, 55-64",26.66,50.71,22.63,0,43000,12000,22000,9800,0,Changwat Kamphaeng Phet,55-64,Age,Province
"Changwat Kamphaeng Phet, 65+",30.06,48.38,21.56,0,24000,7800,12000,5500,0,Changwat Kamphaeng Phet,65+,Age,Province
"Changwat Phetchabun, 13-17",45.44,42.22,12.34,0,32000,16000,15000,4300,0,Changwat Phetchabun,13-17,Age,Province
"Changwat Phetchabun, 18-24",47.16,39.82,13.02,0,81000,41000,35000,12000,0,Changwat Phetchabun,18-24,Age,Province
"Changwat Phetchabun, 25-34",45.47,41.41,13.13,0,156000,75000,67000,21000,0,Changwat Phetchabun,25-34,Age,Province
"Changwat Phetchabun, 35-44",40.85,45.23,13.92,0,98000,41000,46000,14000,0,Changwat Phetchabun,35-44,Age,Province
"Changwat Phetchabun, 45-54",38.14,47.09,14.77,0,73000,28000,36000,11000,0,Changwat Phetchabun,45-54,Age,Province
"Changwat Phetchabun, 55-64",34.33,50.22,15.45,0,51000,18000,26000,8000,0,Changwat Phetchabun,55-64,Age,Province
"Changwat Phetchabun, 65+",37.62,47.47,14.91,0,30000,11000,14000,4400,0,Changwat Phetchabun,65+,Age,Province
"Changwat Nakhon Nayok, 13-17",38.38,42.47,19.14,0,9200,3900,4300,2000,0,Changwat Nakhon Nayok,13-17,Age,Province
"Changwat Nakhon Nayok, 18-24",36.31,42.66,21.03,0,37000,15000,17000,8100,0,Changwat Nakhon Nayok,18-24,Age,Province
"Changwat Nakhon Nayok, 25-34",34.02,46.84,19.14,0,69000,24000,33000,14000,0,Changwat Nakhon Nayok,25-34,Age,Province
"Changwat Nakhon Nayok, 35-44",33.22,48.25,18.53,0,41000,14000,21000,7900,0,Changwat Nakhon Nayok,35-44,Age,Province
"Changwat Nakhon Nayok, 45-54",29.34,51,19.65,0,27000,8400,15000,5300,0,Changwat Nakhon Nayok,45-54,Age,Province
"Changwat Nakhon Nayok, 55-64",26.19,55.12,18.69,0,20000,5100,11000,3700,0,Changwat Nakhon Nayok,55-64,Age,Province
"Changwat Nakhon Nayok, 65+",28.79,51.85,19.36,0,12000,3300,6200,2300,0,Changwat Nakhon Nayok,65+,Age,Province
"Changwat Satun, 13-17",23.61,36.43,39.96,0,15000,4100,6100,6800,0,Changwat Satun,13-17,Age,Province
"Changwat Satun, 18-24",25.11,38.09,36.8,0,38000,11000,15000,15000,0,Changwat Satun,18-24,Age,Province
"Changwat Satun, 25-34",24.32,39.52,36.16,0,72000,18000,30000,27000,0,Changwat Satun,25-34,Age,Province
"Changwat Satun, 35-44",24.1,40.24,35.65,0,48000,13000,20000,18000,0,Changwat Satun,35-44,Age,Province
"Changwat Satun, 45-54",22.77,41.63,35.6,0,28000,6700,12000,10000,0,Changwat Satun,45-54,Age,Province
"Changwat Satun, 55-64",18.97,46.53,34.5,0,17000,3200,7700,5800,0,Changwat Satun,55-64,Age,Province
"Changwat Satun, 65+",20.36,42.34,37.3,0,9400,1900,4100,3600,0,Changwat Satun,65+,Age,Province
"Changwat Suphan Buri, 13-17",23.65,61.5,14.86,0,28000,7400,18000,4500,0,Changwat Suphan Buri,13-17,Age,Province
"Changwat Suphan Buri, 18-24",23.88,60.33,15.79,0,88000,23000,55000,15000,0,Changwat Suphan Buri,18-24,Age,Province
"Changwat Suphan Buri, 25-34",23.22,62.83,13.95,0,188000,44000,123000,28000,0,Changwat Suphan Buri,25-34,Age,Province
"Changwat Suphan Buri, 35-44",22.25,63.55,14.2,0,121000,28000,79000,18000,0,Changwat Suphan Buri,35-44,Age,Province
"Changwat Suphan Buri, 45-54",19.17,66.92,13.92,0,83000,16000,57000,11000,0,Changwat Suphan Buri,45-54,Age,Province
"Changwat Suphan Buri, 55-64",17.17,70.41,12.43,0,58000,9700,41000,7100,0,Changwat Suphan Buri,55-64,Age,Province
"Changwat Suphan Buri, 65+",17.96,69.16,12.88,0,33000,5800,23000,4500,0,Changwat Suphan Buri,65+,Age,Province
"Changwat Nong Khai, 13-17",36.01,52.01,11.98,0,21000,8100,12000,2800,0,Changwat Nong Khai,13-17,Age,Province
