Provinces & Category,TMH-MB MKS,AIS-MB MKS,DTAC-MB MKS,TOT-MB MKS,TMH-MB Market Size,AIS-MB Market Size,DTAC-MB Market Size,TOT-MB Market Size,TMH-MB Total Customer,AIS-MB Total Customer,DTAC-MB Total Customer,TOT-MB Total Customer,Source,Provinces,Category,Metric
"Changwat Chanthaburi, 45-54",20.88,68.99,10.13,--,"79,000","79,000","79,000","79,000","18,000","56,000","8,200",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chanthaburi,45-54,Age
"Changwat Chanthaburi, 55-64",18.24,71.74,10.03,--,"52,000","52,000","52,000","52,000","9,800","38,000","5,400",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chanthaburi,55-64,Age
"Changwat Chanthaburi, 65+",18.84,70.98,10.18,--,"32,000","32,000","32,000","32,000","6,300","24,000","3,400",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Chanthaburi,65+,Age
"Changwat Roi Et, 13-17",40.51,49.34,10.15,--,"41,000","41,000","41,000","41,000","18,000","22,000","4,400",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Roi Et,13-17,Age
"Changwat Roi Et, 18-24",38.79,51.17,10.03,--,"94,000","94,000","94,000","94,000","42,000","53,000","10,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Roi Et,18-24,Age
"Changwat Roi Et, 25-34",35.97,53.96,10.07,--,"188,000","188,000","188,000","188,000","72,000","107,000","19,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Roi Et,25-34,Age
"Changwat Roi Et, 35-44",35.15,54.53,10.33,--,"120,000","120,000","120,000","120,000","43,000","67,000","13,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Roi Et,35-44,Age
"Changwat Roi Et, 45-54",28.13,61.53,10.34,--,"96,000","96,000","96,000","96,000","28,000","60,000","9,500",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Roi Et,45-54,Age
"Changwat Roi Et, 55-64",25.18,65.13,9.69,--,"72,000","72,000","72,000","72,000","19,000","48,000","7,100",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Roi Et,55-64,Age
"Changwat Roi Et, 65+",28.37,62.97,8.66,--,"39,000","39,000","39,000","39,000","11,000","25,000","3,400",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Roi Et,65+,Age
"Changwat Nan, 13-17",33.75,60.0,6.25,--,"17,000","17,000","17,000","17,000","6,600","11,000","1,200",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nan,13-17,Age
"Changwat Nan, 18-24",36.22,55.94,7.84,--,"40,000","40,000","40,000","40,000","16,000","24,000","3,300",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nan,18-24,Age
"Changwat Nan, 25-34",34.12,57.54,8.33,--,"82,000","82,000","82,000","82,000","29,000","49,000","7,000",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nan,25-34,Age
"Changwat Nan, 35-44",31.21,60.47,8.32,--,"55,000","55,000","55,000","55,000","18,000","35,000","4,800",--,MB MKS by province(Age)_2025-12-28_All.csv,Changwat Nan,35-44,Age
