System,Metric,Category,Area_type,TMH & DTAC-MB MKS,AIS-MB MKS,Total Market Size,PROVINCE_ENG,DISTRICT_EN
iOS,Age,13-17,District,52.38,47.62,520,,Song Khwae
iOS,Age,13-17,District,0,100,520,Lop Buri,Sa Bot
iOS,Age,13-17,District,0,0,520,Sing Buri,Tha Chang
All OS,Age,13-17,District,31.37,68.63,530,Roi Et,Nong Hi
All OS,Age,13-17,District,50.98,49.02,530,Chiang Mai,Doi Lo
All OS,Age,13-17,District,58.54,41.46,530,Kamphaeng Phet,Sai Thong Watthana
All OS,Age,13-17,District,0,100,530,Nakhon Si Thammarat,Nopphitam
All OS,Age,13-17,District,21.74,78.26,530,Phangnga,Kapong
All OS,Age,13-17,District,24.49,75.51,530,Udon Thani,Phibun Rak
Android,Age,13-17,District,0,68.75,530,Roi Et,Nong Hi
Android,Age,13-17,District,34.78,41.3,530,Chiang Mai,Doi Lo
Android,Age,13-17,District,24.49,28.57,530,Kamphaeng Phet,Sai Thong Watthana
Android,Age,13-17,District,35.48,64.52,530,Nakhon Si Thammarat,Nopphitam
Android,Age,13-17,District,0,100,530,Phangnga,Kapong
Android,Age,13-17,District,0,65.71,530,Udon Thani,Phibun Rak
iOS,Age,13-17,District,0,100,530,Roi Et,Nong Hi
iOS,Age,13-17,District,0,0,530,Chiang Mai,Doi Lo
iOS,Age,13-17,District,100,0,530,Kamphaeng Phet,Sai Thong Watthana
iOS,Age,13-17,District,0,100,530,Nakhon Si Thammarat,Nopphitam
iOS,Age,13-17,District,0,0,530,Phangnga,Kapong
iOS,Age,13-17,District,0,0,530,Udon Thani,Phibun Rak
All OS,Age,13-17,District,75,25,540,Samut Prakan,Bang Phli
All OS,Age,13-17,District,22.64,77.36,540,Nakhon Ratchasima,Bua Lai
All OS,Age,13-17,District,35.21,64.79,540,Chiang Mai,Doi Tao
Android,Age,13-17,District,0,0,540,Samut Prakan,Bang Phli
Android,Age,13-17,District,0,100,540,Nakhon Ratchasima,Bua Lai
Android,Age,13-17,District,0,57.14,540,Chiang Mai,Doi Tao
iOS,Age,13-17,District,48,52,540,Samut Prakan,Bang Phli
iOS,Age,13-17,District,0,100,540,Nakhon Ratchasima,Bua Lai
iOS,Age,13-17,District,42.11,57.89,540,Chiang Mai,Doi Tao
All OS,Age,13-17,District,0,100,550,Krabi,Lam Thap
All OS,Age,13-17,District,40.91,59.09,550,Nakhon Ratchasima,Sida
Android,Age,13-17,District,0,100,550,Krabi,Lam Thap
Android,Age,13-17,District,0,66.67,550,Nakhon Ratchasima,Sida
iOS,Age,13-17,District,0,100,550,Krabi,Lam Thap
iOS,Age,13-17,District,0,0,550,Nakhon Ratchasima,Sida
All OS,Age,13-17,District,55.71,44.29,560,Songkhla,Na Mom
All OS,Age,13-17,District,34.38,65.63,560,Roi Et,Chiang Khwan
All OS,Age,13-17,District,63.49,36.51,560,Ubon Ratchathani,Sawang Wirawong
All OS,Age,13-17,District,41.18,58.82,560,Nakhon Si Thammarat,Tham Phannara
Android,Age,13-17,District,28.36,32.84,560,Songkhla,Na Mom
Android,Age,13-17,District,0,62.75,560,Roi Et,Chiang Khwan
Android,Age,13-17,District,37.14,62.86,560,Ubon Ratchathani,Sawang Wirawong
Android,Age,13-17,District,0,67.74,560,Nakhon Si Thammarat,Tham Phannara
iOS,Age,13-17,District,100,0,560,Songkhla,Na Mom
iOS,Age,13-17,District,0,0,560,Roi Et,Chiang Khwan
iOS,Age,13-17,District,0,100,560,Ubon Ratchathani,Sawang Wirawong
iOS,Age,13-17,District,0,0,560,Nakhon Si Thammarat,Tham Phannara
All OS,Age,13-17,District,58.1,41.89,570,Roi Et,Changhan
All OS,Age,13-17,District,76.92,23.08,570,Phichit,Sak Lek
Android,Age,13-17,District,0,63.41,570,Roi Et,Changhan
Android,Age,13-17,District,40,22.22,570,Phichit,Sak Lek
iOS,Age,13-17,District,100,0,570,Roi Et,Changhan
iOS,Age,13-17,District,0,0,570,Phichit,Sak Lek
All OS,Age,13-17,District,31.26,68.75,580,Chumphon,Lamae
Android,Age,13-17,District,0,100,580,Chumphon,Lamae
iOS,Age,13-17,District,0,100,580,Chumphon,Lamae
All OS,Age,13-17,District,69.84,30.16,590,Nakhon Sawan,Kao Liao
All OS,Age,13-17,District,68.26,31.75,590,Ubon Ratchathani,Lao Suea Kok
All OS,Age,13-17,District,39.68,60.32,590,Samut Songkhram,Bang Khonthi
All OS,Age,13-17,District,41.79,58.21,590,Amnat Charoen,Phana
Android,Age,13-17,District,0,61.54,590,Nakhon Sawan,Kao Liao
Android,Age,13-17,District,0,40.54,590,Ubon Ratchathani,Lao Suea Kok
Android,Age,13-17,District,26.79,50,590,Samut Songkhram,Bang Khonthi
Android,Age,13-17,District,0,75,590,Amnat Charoen,Phana
iOS,Age,13-17,District,0,0,590,Nakhon Sawan,Kao Liao
iOS,Age,13-17,District,47.83,52.17,590,Ubon Ratchathani,Lao Suea Kok
iOS,Age,13-17,District,0,0,590,Samut Songkhram,Bang Khonthi
iOS,Age,13-17,District,0,100,590,Amnat Charoen,Phana
