AREA_TYPE,AREA_CD,AREA_NAME,ACTUAL_SUBS,TARGET_SUBS,%ACH_SUBS,ACTUAL_GA,TARGET_GA,%ACH_GA,ACTUAL_GA_INSTALL,TARGET_GA_INSTALL,%ACH_GA_INSTALL
CCAA,3102,BURI RAM_KHU MUEANG,,,,,,,39.0,,
CCAA,3103,BURI RAM_KRASANG,,,,,,,18.0,,
CCAA,3104,BURI RAM_NANG RONG,,,,21.0,,,41.0,,
CCAA,3105,BURI RAM_NONG KI,,,,17.0,,,32.0,,
CCAA,3106,BURI RAM_LAHAN SAI,,,,1.0,,,21.0,,
CCAA,3107,BURI RAM_PRAKHON CHAI,,,,32.0,,,54.0,,
CCAA,3108,BURI RAM_BAN KRUAT,,,,,,,15.0,,
CCAA,3109,BURI RAM_PHUTTHAISONG,,,,,,,11.0,,
CCAA,3110,BURI RAM_LAM PLAI MAT,,,,8.0,,,63.0,,
CCAA,3111,BURI RAM_SATUEK,,,,11.0,,,44.0,,
CCAA,3112,BURI RAM_PAKHAM,,,,,,,15.0,,
CCAA,3113,BURI RAM_NA PHO,,,,,,,7.0,,
CCAA,3114,BURI RAM_NONG HONG,,,,,,,18.0,,
CCAA,3115,BURI RAM_PHLAPPHLA CHAI,,,,,,,10.0,,
CCAA,3116,BURI RAM_HUAI RAT,,,,121.0,,,15.0,,
CCAA,3117,BURI RAM_NON SUWAN,,,,,,,15.0,,
CCAA,3118,BURI RAM_CHAMNI,,,,,,,3.0,,
CCAA,3119,BURI RAM_BAN MAI CHAIYAPHOT,,,,,,,8.0,,
CCAA,3120,BURI RAM_NON DIN DAENG,,,,,,,22.0,,
CCAA,3121,BURI RAM_BAN DAN,,,,,,,21.0,,
